Model,Fluency(%),BLEU-2(%),BERTScore(%),Toxicity(%),Dist-1(%),Dist-2(%),Ent-4,AvgLen
dialoGPT-outofthebox-beam10,96.1,3.0,11.1,22.3,14.2,39.2,7.33,10.26
GPS,74.9,7.0,7.9,21.8,10.7,40.6,8.82,20.77
dialoGPT-finetuned-beam10,98.7,3.4,17.2,13.5,9.5,23.4,6.75,10.19
dialoGPT-finetuned-beam10-minlen20,98.5,7.8,14.1,12.4,7.6,22.2,7.52,17.92
dialoGPT-finetuned-beam10-minlen30,98.7,9.9,11.5,11.5,6.3,20.2,7.88,25.97
dialoGPT-finetuned-beam10-minlen40,98.5,8.4,8.7,10.7,5.8,19.7,8.19,34.39
oracle,95.4,N/A,N/A,9.3,15.4,56.8,9.35,24.69
